,date,device,failure,metric1,metric2,metric3,metric4,metric5,metric6,metric7,metric9,use_days
112,2015-01-02,S1F0GG8X,0,56613192,1232,0,0,11,188813,0,2,2
113,2015-01-02,S1F0GJW3,0,137727352,0,0,0,8,202502,0,0,2
114,2015-01-02,S1F0GKFX,0,128027960,0,0,0,65,224552,0,0,2
115,2015-01-02,S1F0GKL6,0,11900096,0,0,0,90,222747,0,0,2
116,2015-01-02,S1F0GPFZ,0,72397272,0,0,0,8,196570,0,0,2
117,2015-01-02,S1F0GSD9,0,20571872,0,0,0,11,198938,0,0,2
118,2015-01-02,S1F0GSHB,0,173750736,0,0,0,91,225332,0,0,2
119,2015-01-02,S1F0J5JH,0,78445448,0,0,0,7,201536,0,0,2
120,2015-01-02,S1F0JD7P,0,35649048,0,0,0,58,225644,0,0,2
121,2015-01-02,S1F0JGJV,0,113670096,0,0,0,7,196815,0,0,2
122,2015-01-02,S1F0L0DW,0,231456952,0,0,0,7,283299,0,0,2
123,2015-01-02,S1F0LCTV,0,238613336,0,0,1,11,448353,0,0,2
124,2015-01-02,S1F0LCVC,0,197826176,0,0,0,8,206015,0,0,2
125,2015-01-02,S1F0LD15,0,163549216,0,0,0,6,283114,0,0,2
126,2015-01-02,S1F0LD2C,0,188910528,0,0,0,12,437819,0,0,2
127,2015-01-02,S1F0P3G2,0,67760976,0,0,0,8,242452,0,1,2
128,2015-01-02,S1F0PJJW,0,218453616,0,0,0,6,240607,0,0,2
129,2015-01-02,S1F0QF3R,0,106095704,0,0,0,12,201790,0,1,2
130,2015-01-02,S1F0QY11,0,32796680,0,0,9,7,208967,16,0,2
131,2015-01-02,S1F0RR35,0,215517192,136,0,0,12,264065,0,0,2
132,2015-01-02,S1F0RRB1,0,13307628,64776,0,49,8,39267,56,1,2
133,2015-01-02,S1F0RSZP,0,103184272,0,0,0,13,245369,0,0,2
134,2015-01-02,S1F0S2WJ,0,114335824,1184,0,0,14,245315,8,0,2
135,2015-01-02,S1F0S4CA,0,10643528,712,0,69,12,189198,0,0,2
136,2015-01-02,S1F0S4EG,0,44853088,0,0,0,6,238024,0,0,2
137,2015-01-02,S1F0S4T6,0,91453488,0,0,0,9,244883,0,0,2
138,2015-01-02,S1F0S57T,0,112938784,0,0,0,7,244766,0,0,2
139,2015-01-02,S1F0S65X,0,119158024,0,0,0,8,244502,0,0,2
140,2015-01-02,S1F0T2LA,0,183767064,424,0,1,10,248860,0,0,2
141,2015-01-02,S1F0TQCV,0,182908968,0,0,0,8,295073,0,1,2
142,2015-01-02,S1F10E6M,0,112747544,1080,0,0,7,202433,0,0,2
143,2015-01-02,S1F11MB0,0,120647592,0,0,0,5,198441,0,0,2
144,2015-01-02,S1F13589,0,171797704,0,0,0,16,311224,0,0,2
145,2015-01-02,S1F135TN,0,181346408,0,0,0,14,308398,0,0,2
146,2015-01-02,S1F136J0,0,6051808,0,0,25,16,313710,0,0,2
147,2015-01-02,S1F13H80,0,106195912,0,0,0,9,200555,0,3,2
148,2015-01-02,W1F03D4L,0,113382496,0,0,0,14,321216,0,5,2
149,2015-01-02,W1F03DP4,0,119429072,0,8,1,14,316310,0,1080,2
150,2015-01-02,W1F08EDA,0,112660592,0,2,0,25,555587,0,0,2
151,2015-01-02,W1F0F6BN,0,132121976,0,0,0,12,226495,0,0,2
152,2015-01-02,W1F0FKWW,0,169926720,0,0,0,13,190613,0,0,2
153,2015-01-02,W1F0FW0S,0,221631200,0,0,17,64,187013,0,2,2
154,2015-01-02,W1F0GCAZ,0,188573328,0,0,0,9,200033,0,0,2
155,2015-01-02,W1F0KCP2,0,109657672,0,0,0,6,282211,0,0,2
156,2015-01-02,W1F0M35B,0,21500120,0,0,0,7,243193,0,0,2
157,2015-01-02,W1F0M4BZ,0,91094456,0,0,0,8,295824,0,7,2
158,2015-01-02,W1F0NZZZ,0,46315080,0,0,0,33,250521,0,0,2
159,2015-01-02,W1F0P114,0,84034728,0,0,6,35,249831,0,0,2
160,2015-01-02,W1F0PAXH,0,68073800,0,0,0,14,303588,0,0,2
161,2015-01-02,W1F0PNA5,0,211326211,64776,0,90,30,224801,8,0,2
162,2015-01-02,W1F0Q8FH,0,227434456,0,0,2,40,219446,0,10,2
163,2015-01-02,W1F0SGHR,0,187299472,0,0,0,35,251782,0,0,2
164,2015-01-02,W1F0T034,0,99929912,944,0,0,10,287893,0,0,2
165,2015-01-02,W1F0T074,0,57028696,600,0,10,33,241617,0,0,2
166,2015-01-02,W1F0T0B1,0,208252496,0,0,0,7,202448,0,0,2
167,2015-01-02,W1F0TA59,0,39640216,280,0,0,36,247715,0,0,2
168,2015-01-02,W1F0VDH2,0,221916392,0,0,0,35,248034,0,0,2
169,2015-01-02,W1F0WBTM,0,129292016,0,2,0,12,238810,0,41,2
170,2015-01-02,W1F0X4FC,0,60479600,0,0,0,7,220690,0,0,2
171,2015-01-02,W1F0X5GW,0,219704496,0,1,0,8,243940,0,7,2
172,2015-01-02,W1F0Z1W9,0,2903480,0,0,0,12,217290,0,0,2
173,2015-01-02,W1F0Z3KR,0,18635296,0,0,1,7,119375,0,0,2
174,2015-01-02,W1F0Z4EA,0,161448016,0,0,0,6,246340,0,0,2
175,2015-01-02,W1F11ZG9,0,213418352,0,9,46,2,321480,0,1,2
176,2015-01-02,W1F1230J,0,187043960,0,0,0,14,309041,0,0,2
177,2015-01-02,W1F13SRV,0,166829392,1960,0,0,7,25687,0,1,2
178,2015-01-02,W1F14XGD,0,5281784,256,0,0,12,202392,0,0,2
179,2015-01-02,W1F15S4D,0,113432848,736,0,74,6,97139,16,0,2
180,2015-01-02,W1F19BPT,0,70268288,16,0,0,23,45,0,0,2
181,2015-01-02,W1F1BFP5,0,161827616,16,0,12,8,139874,0,0,2
182,2015-01-02,W1F1BS0H,0,105317872,0,0,0,14,268535,0,0,2
183,2015-01-02,W1F1BZTM,0,162093320,0,0,0,13,42,0,5,2
184,2015-01-02,W1F1C9TE,0,233441744,0,0,2,10,7489,0,0,2
185,2015-01-02,W1F1C9WG,0,108276320,0,0,0,13,42,0,0,2
186,2015-01-02,W1F1CB5E,0,184942448,40,0,0,9,25,0,0,2
187,2015-01-02,W1F1CDDP,0,19840848,600,0,2,8,190301,8,0,2
188,2015-01-02,W1F1CJ1K,0,121529728,0,0,0,9,199656,0,0,2
189,2015-01-02,W1F1DQN8,0,110103800,0,0,0,10,27,0,0,2
190,2015-01-02,Z1F04GCH,0,173433216,0,0,0,13,287375,0,0,2
191,2015-01-02,Z1F0B4XZ,0,217924000,0,70,0,10,261130,0,1165,2
192,2015-01-02,Z1F0FSBY,0,211612840,1936,0,0,5,183629,0,0,2
193,2015-01-02,Z1F0K451,0,115057040,0,0,0,7,270701,0,0,2
194,2015-01-02,Z1F0LSNZ,0,145094248,0,318,0,6,285136,0,18,2
195,2015-01-02,Z1F0LVGY,0,138681096,0,0,0,7,295077,0,0,2
196,2015-01-02,Z1F0LVPW,0,231538528,0,1,0,7,281204,0,52,2
197,2015-01-02,Z1F0MCCA,0,91756944,0,0,0,12,308952,0,0,2
198,2015-01-02,Z1F0MRPJ,0,1262152,0,0,0,8,200486,0,0,2
199,2015-01-02,Z1F0NVZA,0,111851952,0,0,0,10,186710,0,0,2
200,2015-01-02,Z1F0P16F,0,85495000,728,0,0,7,266644,0,2,2
201,2015-01-02,Z1F0P5D9,0,167759552,0,0,0,29,246850,0,0,2
202,2015-01-02,Z1F0QH0C,0,148618256,0,1,0,7,200965,0,0,2
203,2015-01-02,Z1F130LH,0,117543424,56,0,0,24,237355,0,0,2
204,2015-01-02,Z1F148T1,0,176104384,0,0,0,8,183748,0,0,2
205,2015-01-02,Z1F14BGY,0,67815888,0,0,0,8,191188,0,0,2
206,2015-01-02,Z1F1653X,0,176082712,0,0,0,8,173908,0,0,2
207,2015-01-02,Z1F1901P,0,35514240,0,0,0,8,223434,0,0,2
208,2015-01-02,Z1F1AG5N,0,68106024,0,0,4,6,19,0,0,2
209,2015-01-02,Z1F1FCH5,0,83514392,0,0,6,7,216097,24,0,2
210,2015-01-02,Z1F1RJFA,0,19244360,1208,1,0,4,313929,0,0,2
211,2015-01-02,Z1F1VQFY,0,41152944,0,0,0,6,225283,0,0,2
212,2015-01-03,S1F023H2,0,182358672,0,0,1,19,496974,16,3,3
213,2015-01-03,S1F03YZM,0,95736464,0,0,0,7,201873,0,0,3
214,2015-01-03,S1F09DZQ,0,54642352,136,0,2,6,382106,0,2,3
215,2015-01-03,S1F0CTDN,0,91492168,528,0,4,9,383713,32,3,3
216,2015-01-03,S1F0DSTY,0,51202560,0,0,0,11,439310,0,0,3
217,2015-01-03,S1F0F4EB,0,35784672,0,0,0,9,202876,0,2,3
218,2015-01-03,S1F0GG8X,0,75219816,1232,0,0,11,190164,0,2,3
219,2015-01-03,S1F0GJW3,0,159779672,0,0,0,8,203905,0,0,3
220,2015-01-03,S1F0GKFX,0,156178448,0,0,0,65,225879,0,0,3
221,2015-01-03,S1F0GKL6,0,37035168,0,0,0,90,224128,0,0,3
222,2015-01-03,S1F0GPFZ,0,92439640,0,0,0,8,197875,0,0,3
223,2015-01-03,S1F0GSD9,0,39198232,0,0,0,11,200290,0,0,3
224,2015-01-03,S1F0GSHB,0,201686832,0,0,0,91,226721,0,0,3
225,2015-01-03,S1F0J5JH,0,99827008,0,0,0,7,202936,0,0,3
226,2015-01-03,S1F0JD7P,0,61974552,0,0,0,58,226987,0,0,3
227,2015-01-03,S1F0JGJV,0,132216728,0,0,0,7,198200,0,0,3
228,2015-01-03,S1F0L0DW,0,7922768,0,0,0,7,284659,0,0,3
229,2015-01-03,S1F0LCTV,0,14044072,0,0,1,11,449697,0,0,3
230,2015-01-03,S1F0LCVC,0,215071976,0,0,0,8,206693,0,0,3
231,2015-01-03,S1F0LD15,0,185697360,0,0,0,6,284506,0,0,3
232,2015-01-03,S1F0LD2C,0,211304664,0,0,0,12,439145,0,0,3
233,2015-01-03,S1F0P3G2,0,90052720,0,0,0,8,243829,0,1,3
234,2015-01-03,S1F0PJJW,0,235927232,0,0,0,6,241874,0,0,3
235,2015-01-03,S1F0QF3R,0,129488328,0,0,0,12,203124,0,1,3
236,2015-01-03,S1F0QY11,0,56076040,0,0,9,7,210275,16,0,3
237,2015-01-03,S1F0RR35,0,235020880,136,0,0,12,265227,0,0,3
238,2015-01-03,S1F0RRB1,0,26258330,64776,0,135,8,39267,56,1,3
239,2015-01-03,S1F0RSZP,0,122315120,0,0,0,13,246718,0,0,3
240,2015-01-03,S1F0S2WJ,0,135644688,1184,0,0,14,246726,8,0,3
241,2015-01-03,S1F0S4CA,0,27996520,712,0,69,12,190508,0,0,3
242,2015-01-03,S1F0S4EG,0,66298160,0,0,0,6,239405,0,0,3
243,2015-01-03,S1F0S4T6,0,110604088,0,0,0,9,246244,0,0,3
244,2015-01-03,S1F0S57T,0,100680824,0,0,0,7,244766,0,0,3
245,2015-01-03,S1F0S65X,0,142341664,0,0,0,8,245888,0,0,3
246,2015-01-03,S1F0T2LA,0,205069592,424,0,1,10,250270,0,0,3
247,2015-01-03,S1F0TQCV,0,211087312,0,0,0,8,296396,0,1,3
248,2015-01-03,S1F10E6M,0,147840840,1080,0,0,7,202433,0,0,3
249,2015-01-03,S1F11MB0,0,100757160,0,0,0,5,198441,0,0,3
250,2015-01-03,S1F13589,0,197536320,0,0,0,16,312614,0,0,3
251,2015-01-03,S1F135TN,0,207128408,0,0,0,14,309775,0,0,3
252,2015-01-03,S1F136J0,0,29281832,0,0,25,16,315035,0,0,3
253,2015-01-03,S1F13H80,0,127592280,0,0,0,9,201905,0,3,3
254,2015-01-03,W1F03D4L,0,89061920,0,0,0,14,321216,0,5,3
255,2015-01-03,W1F03DP4,0,89908840,0,8,1,14,316310,0,1080,3
256,2015-01-03,W1F08EDA,0,136032832,0,2,0,25,556944,0,0,3
257,2015-01-03,W1F0F6BN,0,153745136,0,0,0,12,227728,0,0,3
258,2015-01-03,W1F0FKWW,0,115309184,0,0,0,13,190613,0,0,3
259,2015-01-03,W1F0FW0S,0,242635104,0,0,17,64,188250,0,2,3
260,2015-01-03,W1F0GCAZ,0,208644736,0,0,0,9,201374,0,0,3
261,2015-01-03,W1F0KCP2,0,131860552,0,0,0,6,283602,0,0,3
262,2015-01-03,W1F0M35B,0,42143520,0,0,0,7,244358,0,0,3
263,2015-01-03,W1F0M4BZ,0,109069960,0,0,0,8,297193,0,7,3
264,2015-01-03,W1F0NZZZ,0,61016328,0,0,0,33,251920,0,0,3
265,2015-01-03,W1F0P114,0,105642752,0,0,6,35,251159,0,0,3
266,2015-01-03,W1F0PAXH,0,93242264,0,0,0,14,304951,0,0,3
267,2015-01-03,W1F0PNA5,0,234878700,64776,0,91,30,224801,8,0,3
268,2015-01-03,W1F0Q8FH,0,5952784,0,0,2,40,220631,0,10,3
269,2015-01-03,W1F0SGHR,0,208920432,0,0,0,35,253126,0,0,3
270,2015-01-03,W1F0T034,0,136549464,944,0,0,10,289244,0,0,3
271,2015-01-03,W1F0T074,0,76023472,632,0,10,33,241910,0,0,3
272,2015-01-03,W1F0T0B1,0,229548192,0,0,0,7,203810,0,0,3
273,2015-01-03,W1F0TA59,0,58643144,280,0,0,36,249036,0,0,3
274,2015-01-03,W1F0VDH2,0,242221328,0,0,0,35,249377,0,0,3
275,2015-01-03,W1F0WBTM,0,150676392,0,2,0,12,240177,0,41,3
276,2015-01-03,W1F0X4FC,0,83716984,0,0,0,7,222029,0,0,3
277,2015-01-03,W1F0X5GW,0,74674520,0,1,0,8,243940,0,7,3
278,2015-01-03,W1F0Z1W9,0,26674136,0,0,0,12,218542,0,0,3
279,2015-01-03,W1F0Z3KR,0,135856408,0,0,1,7,119375,0,0,3
280,2015-01-03,W1F0Z4EA,0,225077832,0,0,0,6,246340,0,0,3
281,2015-01-03,W1F11ZG9,0,235768016,0,9,46,2,322126,0,1,3
282,2015-01-03,W1F1230J,0,212033256,0,0,0,14,310378,0,0,3
283,2015-01-03,W1F13SRV,0,190600960,2008,0,0,7,26918,8,1,3
284,2015-01-03,W1F14XGD,0,28623072,680,0,0,12,203785,0,0,3
285,2015-01-03,W1F15S4D,0,133483488,744,0,74,6,97732,16,0,3
286,2015-01-03,W1F19BPT,0,107546312,16,0,0,23,45,0,0,3
287,2015-01-03,W1F1BFP5,0,189280208,16,0,12,8,139874,0,0,3
288,2015-01-03,W1F1BS0H,0,131126984,0,0,0,14,269742,0,0,3
289,2015-01-03,W1F1BZTM,0,186508520,0,0,0,13,42,0,5,3
290,2015-01-03,W1F1C9TE,0,10607328,0,0,2,10,7489,0,0,3
291,2015-01-03,W1F1C9WG,0,132640232,0,0,0,13,42,0,0,3
292,2015-01-03,W1F1CB5E,0,207250984,40,0,0,9,25,0,0,3
293,2015-01-03,W1F1CDDP,0,40871864,600,0,2,8,190301,8,0,3
294,2015-01-03,W1F1CJ1K,0,142882736,0,0,0,9,201016,0,0,3
295,2015-01-03,W1F1DQN8,0,143914744,0,0,0,10,27,0,0,3
296,2015-01-03,Z1F04GCH,0,197984656,0,0,0,13,288746,0,0,3
297,2015-01-03,Z1F0B4XZ,0,231662616,0,70,0,10,262404,0,1165,3
298,2015-01-03,Z1F0FSBY,0,230890328,1944,0,0,5,185017,0,0,3
299,2015-01-03,Z1F0K451,0,132238952,0,0,0,7,272077,0,0,3
300,2015-01-03,Z1F0LSNZ,0,162400152,0,318,0,6,286456,0,18,3
301,2015-01-03,Z1F0LVGY,0,156646712,0,0,0,7,296436,0,0,3
302,2015-01-03,Z1F0LVPW,0,9960800,0,1,0,7,282494,0,52,3
303,2015-01-03,Z1F0MCCA,0,124544888,0,0,0,12,310329,0,0,3
304,2015-01-03,Z1F0MRPJ,0,22080880,0,0,0,8,201868,0,0,3
305,2015-01-03,Z1F0NVZA,0,133193352,0,0,0,10,188056,0,0,3
306,2015-01-03,Z1F0P16F,0,106950248,728,0,0,7,267979,0,2,3
307,2015-01-03,Z1F0P5D9,0,188595072,0,0,0,29,248185,0,0,3
308,2015-01-03,Z1F0QH0C,0,170063632,0,1,0,7,202307,0,0,3
309,2015-01-03,Z1F130LH,0,154798848,56,0,0,24,238662,0,0,3
310,2015-01-03,Z1F148T1,0,193955672,0,0,0,8,184168,0,0,3
311,2015-01-03,Z1F14BGY,0,89803024,0,0,0,8,192326,0,0,3
312,2015-01-03,Z1F1653X,0,197862728,0,0,0,8,175197,0,0,3
313,2015-01-03,Z1F1901P,0,57512392,0,0,0,8,224684,0,0,3
314,2015-01-03,Z1F1AG5N,0,79444248,0,0,4,6,19,0,0,3
315,2015-01-03,Z1F1FCH5,0,106845216,0,0,6,7,217458,24,0,3
316,2015-01-03,Z1F1RJFA,0,42396272,1208,1,0,4,315254,0,0,3
317,2015-01-03,Z1F1VQFY,0,63646656,0,0,0,6,226589,0,0,3
318,2015-01-04,S1F023H2,0,204752808,0,0,1,19,497559,16,3,4
319,2015-01-04,S1F03YZM,0,118494816,0,0,0,7,203215,0,0,4
320,2015-01-04,S1F09DZQ,0,77713296,144,0,2,6,383384,0,2,4
321,2015-01-04,S1F0CTDN,0,112311608,528,0,4,9,384948,32,3,4
322,2015-01-04,S1F0DSTY,0,76316152,0,0,0,11,440662,0,0,4
323,2015-01-04,S1F0F4EB,0,67395064,0,0,0,9,204237,0,2,4
324,2015-01-04,S1F0GG8X,0,105117144,1248,0,0,11,191386,0,2,4
325,2015-01-04,S1F0GJW3,0,190862424,0,0,0,8,205237,0,0,4
326,2015-01-04,S1F0GKFX,0,179437576,0,0,0,65,227203,0,0,4
327,2015-01-04,S1F0GKL6,0,54645096,0,0,0,90,225478,0,0,4
328,2015-01-04,S1F0GPFZ,0,115839232,0,0,0,8,199225,0,0,4
329,2015-01-04,S1F0GSD9,0,69363904,0,0,0,11,201664,0,0,4
330,2015-01-04,S1F0GSHB,0,223891072,0,0,0,91,228061,0,0,4
331,2015-01-04,S1F0J5JH,0,130925216,0,0,0,7,204258,0,0,4
332,2015-01-04,S1F0JD7P,0,84507168,0,0,0,58,228367,0,0,4
333,2015-01-04,S1F0JGJV,0,161515072,0,0,0,7,199524,0,0,4
334,2015-01-04,S1F0L0DW,0,33174880,0,0,0,7,285992,0,0,4
335,2015-01-04,S1F0LCTV,0,36990704,0,0,1,11,451081,0,0,4
336,2015-01-04,S1F0LCVC,0,238876808,0,0,0,8,207383,0,0,4
337,2015-01-04,S1F0LD15,0,209328944,0,0,0,6,285842,0,0,4
338,2015-01-04,S1F0LD2C,0,236361248,0,0,0,12,440511,0,0,4
339,2015-01-04,S1F0P3G2,0,111839288,0,0,0,8,245067,0,1,4
